cohort,region,gene,log2FC,lfcSE,pvalue,padj
SEA-AD,MTG,CREB5,1.2034597572573145,0.2526426440936457,1.90276597209794e-06,0.0190219514230631
SEA-AD,DLPFC,CREB5,0.9763580363288,0.2723764778217482,0.0003376079554938,0.9704515085341078
GSE160936,EC,CREB5,0.6884010096059392,0.5464503523494847,0.2077528407719805,0.9583288390871738
GSE160936,SSC,CREB5,1.3984795393601148,0.4866264816155281,0.0040553309487731,0.509365293160216
