cohort,region,gene,log2FC,lfcSE,pvalue,padj,gene_id,analysis_role,model_note,CI95_low,CI95_high,positive_direction,nominal_p_below_0_05,genome_wide_FDR_below_0_05
SEA-AD,MTG,CREB5,1.2034597572573145,0.2526426440936457,1.90276597209794e-06,0.0190219514230631,ENSG00000146592,Discovery,Frozen regional donor-level model,0.7082801748337689,1.69863933968086,True,True,True
SEA-AD,DLPFC,CREB5,0.9763580363288,0.2723764778217482,0.0003376079554938,0.9704515085341078,ENSG00000146592,Cross-region replication,Frozen regional donor-level model,0.4425001397981736,1.5102159328594265,True,True,False
GSE160936,EC,CREB5,0.6884010096059392,0.5464503523494847,0.2077528407719805,0.9583288390871738,ENSG00000146592,Independent cohort validation,Frozen regional donor-level model,-0.3826416809990507,1.759443700210929,True,False,False
GSE160936,SSC,CREB5,1.3984795393601148,0.4866264816155281,0.0040553309487731,0.509365293160216,ENSG00000146592,Independent cohort validation,Frozen regional donor-level model,0.44469163539367984,2.35226744332655,True,True,False
GSE157827,PFC,CREB5,0.8566032954734822,0.2078865346521001,3.7799716195705296e-05,0.2893498915004855,ENSG00000146592,Independent confirmatory cohort,~ age + sex + diagnosis,0.44914568755536605,1.2640609033915984,True,True,False
