gene,status,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,genome_wide_padj,secondary_BH_qvalue
CREB5,tested,ENSG00000146592,70.48471045950134,0.8566032954734822,0.20788653465210014,4.120532851764618,3.7799716195705296e-05,0.2893498915004855,
CSRP1,tested,ENSG00000159176,604.1787233924688,0.44527288314097613,0.2721684443267412,1.636019503445525,0.10183550560520092,0.9992450963502065,0.2789460703950078
SHC1,tested,ENSG00000160691,1.6324330698114475,-0.24068918107418516,0.5444699495757375,-0.4420614604382396,0.6584447318380113,0.9992450963502065,0.6584447318380113
KCNH2,tested,ENSG00000055118,9.020515794719802,0.4416538203558048,0.2988678433733526,1.4777562395833959,0.1394730351975039,0.9992450963502065,0.2789460703950078
MRGPRF,tested,ENSG00000172935,8.736867118897855,0.6552776368942734,0.5868519588399859,1.1165978523604876,0.26416631031682625,0.9992450963502065,0.39624946547523937
AJAP1,tested,ENSG00000196581,17.496022893013453,0.46076589323501194,0.5255420756772741,0.8767440601995871,0.3806256693097464,0.9992450963502065,0.45675080317169564
CCDC3,tested,ENSG00000151468,48.6622515215685,0.6122310781305682,0.2737051157086585,2.2368273115590895,0.025297628785995285,0.9992450963502065,0.1517857727159717
