analysis,description,donors,model,astrocyte_definition,log2FC,lfcSE,Wald_stat,pvalue,padj,CI95_low,CI95_high,positive_direction,nominal_p_below_0_05,genome_wide_FDR_below_0_05,delta_log2FC_vs_primary,absolute_percent_effect_change_vs_primary
Primary,Primary age/sex-adjusted model,21,~ age + sex + diagnosis,Primary,0.8566032954734822,0.20788653465210014,4.120532851764618,3.7799716195705296e-05,0.2893498915004855,0.449145687555366,1.2640609033915986,True,True,False,0.0,0.0
Diagnosis-only,No age/sex covariates,21,~ diagnosis,Primary,0.9378231517436797,0.18570041715651178,5.050194103512783,4.4136135726894993e-07,0.003723103729242227,0.5738503341169165,1.3017959693704428,True,True,True,0.08121985627019745,9.481618469060836
QC-loss exclusion,Excluded 3 prospectively flagged donors,18,~ age + sex + diagnosis,Primary,0.8303514099908318,0.22681752674017006,3.6608785128939245,0.00025135192679826045,0.35741323721116613,0.3857890575800985,1.2749137624015652,True,True,False,-0.02625188548265045,3.0646491347129223
Scrublet-donor exclusion,Excluded rescued Scrublet donor AD4,20,~ age + sex + diagnosis,Primary,0.8594375229028585,0.2186719124477935,3.9302602391061248,8.48539705459017e-05,0.2863142674159815,0.4308405745051832,1.2880344713005338,True,True,False,0.0028342274293762237,0.33086814449034097
Independent annotation,Harmony2/Leiden astrocyte definition,21,~ age + sex + diagnosis,Independent,0.8591039483532343,0.21055392767853912,4.080208608907366,4.499530199531523e-05,0.25303857998765444,0.44641825010329766,1.271789646603171,True,True,False,0.0025006528797520966,0.2919266004422591
