Analysis,Sensitivity description,Donors (n),Model,Astrocyte definition,CREB5 log2FC,SE,95% CI lower,95% CI upper,Nominal P,Genome-wide FDR,Delta log2FC vs primary,Absolute effect change vs primary (%),Positive direction,Nominal P < 0.05,Genome-wide FDR < 0.05
Primary,Primary age/sex-adjusted model,21,~ age + sex + diagnosis,Primary,0.8566032954734822,0.2078865346521001,0.449145687555366,1.2640609033915986,3.7799716195705296e-05,0.2893498915004855,0.0,0.0,Yes,Yes,No
Diagnosis-only,No age/sex covariates,21,~ diagnosis,Primary,0.9378231517436796,0.1857004171565117,0.5738503341169165,1.3017959693704428,4.4136135726895e-07,0.0037231037292422,0.0812198562701974,9.481618469060836,Yes,Yes,Yes
QC-loss exclusion,Excluded 3 prospectively flagged donors,18,~ age + sex + diagnosis,Primary,0.8303514099908318,0.22681752674017,0.3857890575800985,1.2749137624015652,0.0002513519267982,0.3574132372111661,-0.0262518854826504,3.0646491347129223,Yes,Yes,No
Scrublet-donor exclusion,Excluded rescued Scrublet donor AD4,20,~ age + sex + diagnosis,Primary,0.8594375229028585,0.2186719124477935,0.4308405745051832,1.2880344713005338,8.48539705459017e-05,0.2863142674159815,0.0028342274293762,0.3308681444903409,Yes,Yes,No
Independent annotation,Harmony2/Leiden astrocyte definition,21,~ age + sex + diagnosis,Independent,0.8591039483532343,0.2105539276785391,0.4464182501032976,1.271789646603171,4.499530199531523e-05,0.2530385799876544,0.002500652879752,0.2919266004422591,Yes,Yes,No
