Gene,Ensembl gene ID,Status,baseMean,log2FC (AD vs Control),SE,Wald statistic,Nominal P,Six-gene BH q-value,Genome-wide FDR,Direction,Nominal P < 0.05,Six-gene BH q < 0.05,Genome-wide FDR < 0.05
CSRP1,ENSG00000159176,tested,604.1787233924688,0.4452728831409761,0.2721684443267412,1.636019503445525,0.1018355056052009,0.2789460703950078,0.9992450963502064,Higher in AD,No,No,No
SHC1,ENSG00000160691,tested,1.6324330698114475,-0.2406891810741851,0.5444699495757375,-0.4420614604382396,0.6584447318380113,0.6584447318380113,0.9992450963502064,Lower in AD,No,No,No
KCNH2,ENSG00000055118,tested,9.020515794719802,0.4416538203558048,0.2988678433733526,1.477756239583396,0.1394730351975039,0.2789460703950078,0.9992450963502064,Higher in AD,No,No,No
MRGPRF,ENSG00000172935,tested,8.736867118897855,0.6552776368942734,0.5868519588399859,1.1165978523604876,0.2641663103168262,0.3962494654752393,0.9992450963502064,Higher in AD,No,No,No
AJAP1,ENSG00000196581,tested,17.496022893013453,0.4607658932350119,0.5255420756772741,0.8767440601995871,0.3806256693097464,0.4567508031716956,0.9992450963502064,Higher in AD,No,No,No
CCDC3,ENSG00000151468,tested,48.6622515215685,0.6122310781305682,0.2737051157086585,2.236827311559089,0.0252976287859952,0.1517857727159717,0.9992450963502064,Higher in AD,Yes,No,No
