dataset,region,stage,analysis_role,evaluable,log2FC,lfcSE,CI95_low,CI95_high,pvalue,FDR,positive_direction,nominal_p_below_0_05,genomewide_FDR_below_0_05
SEA-AD,MTG,Original analysis,Discovery,True,1.2034597572573145,0.2526426440936457,0.7082801748337689,1.69863933968086,1.90276597209794e-06,0.0190219514230631,True,True,True
SEA-AD,DLPFC,Original analysis,Cross-region replication,True,0.9763580363288,0.2723764778217482,0.4425001397981736,1.5102159328594265,0.0003376079554938,0.9704515085341078,True,True,False
GSE160936,EC,Original analysis,Independent cohort validation,True,0.6884010096059392,0.5464503523494847,-0.3826416809990507,1.759443700210929,0.2077528407719805,0.9583288390871738,True,False,False
GSE160936,SSC,Original analysis,Independent cohort validation,True,1.3984795393601148,0.4866264816155281,0.4446916353936798,2.35226744332655,0.0040553309487731,0.509365293160216,True,True,False
GSE157827,PFC,Original analysis,Independent confirmatory cohort,True,0.8566032954734822,0.2078865346521001,0.449145687555366,1.2640609033915984,3.7799716195705296e-05,0.2893498915004855,True,True,False
GSE188545,MTG,Prospective external validation,External validation,True,1.2313695766156472,0.3200568782574276,0.604058095231089,1.858681058000205,0.0001194042444808,0.0215010559679762,True,True,True
GSE138852,EC,Prospective external validation,Structurally unresolved / parked,False,,,,,,,False,False,False
GSE174367,PFC,Prospective external validation,External validation,True,0.309603807623877,0.2996967382921146,-0.2778017994286675,0.8970094146764217,0.3015772337188175,0.7695933518151578,True,False,False
